,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
105,7,芝,2000m,晴,良,11,5,牝6,55,"
岩田康誠
",88.1,11,446,+6
106,7,芝,2000m,晴,良,12,11,牡5,57,"
北村宏司
",182.8,14,472,+20
107,7,芝,2000m,晴,良,13,8,牝4,53,"
木幡初也
",126.9,13,420,-10
108,7,芝,2000m,晴,良,14,7,牝6,52,"
横山武史
",230.3,15,484,-16
109,7,芝,2000m,晴,良,15,15,牡6,57,"
吉田隼人
",247.9,16,460,+16
110,7,芝,2000m,晴,良,16,10,牝5,55,"
三浦皇成
",55.9,10,556,+22
111,8,ダート,1800m,晴,良,1,10,牝4,51,"
武藤雅
",5.6,3,522,+4
112,8,ダート,1800m,晴,良,2,7,牡4,56,"
横山和生
",3.5,2,468,0
113,8,ダート,1800m,晴,良,3,8,牡4,56,"
岩田康誠
",17.2,6,520,+6
114,8,ダート,1800m,晴,良,4,9,セ8,57,"
原田和真
",62.4,12,460,0
115,8,ダート,1800m,晴,良,5,14,牡6,57,"
北村宏司
",3.1,1,502,0
116,8,ダート,1800m,晴,良,6,2,牝4,51,"
横山武史
",35.6,10,476,+8
117,8,ダート,1800m,晴,良,7,11,牡4,56,"
内田博幸
",21.4,7,508,+2
118,8,ダート,1800m,晴,良,8,5,牡5,57,"
柴田大知
",10.2,5,510,+12
119,8,ダート,1800m,晴,良,9,4,牡6,54,"
野中悠太
",290.7,16,458,0
120,8,ダート,1800m,晴,良,10,1,牡4,56,"
石橋脩
",32.9,9,500,+4
121,8,ダート,1800m,晴,良,11,12,牡4,56,"
勝浦正樹
",82.8,13,502,+12
122,8,ダート,1800m,晴,良,12,3,牡4,55,"
木幡初也
",98.4,14,482,+12
123,8,ダート,1800m,晴,良,13,16,牡7,57,"
武士沢友
",210.5,15,474,+8
124,8,ダート,1800m,晴,良,14,6,牡6,57,"
福永祐一
",9.7,4,538,+2
125,8,ダート,1800m,晴,良,15,13,牝4,54,"
松岡正海
",39.3,11,484,0
126,8,ダート,1800m,晴,良,16,15,牡4,56,"
柴山雄一
",27.8,8,482,+10
127,9,ダート,1800m,晴,良,1,14,牡7,57,"
北村宏司
",35.3,10,494,-4
128,9,ダート,1800m,晴,良,2,6,牡6,57,"
三浦皇成
",12.6,7,486,-2
129,9,ダート,1800m,晴,良,3,5,牝6,55,"
福永祐一
",21.9,9,464,-2
130,9,ダート,1800m,晴,良,4,16,牡4,56,"
蛯名正義
",7.4,4,458,+8
131,9,ダート,1800m,晴,良,5,8,牡6,57,"
川田将雅
",8.6,6,512,+8
132,9,ダート,1800m,晴,良,6,7,牡6,57,"
柴山雄一
",157.6,14,552,+6
133,9,ダート,1800m,晴,良,7,2,牡5,57,"
内田博幸
",7.6,5,470,-6
134,9,ダート,1800m,晴,良,8,1,牡7,57,"
田中勝春
",119.8,13,546,+4
135,9,ダート,1800m,晴,良,9,4,セ4,56,"
岩田康誠
",4.6,2,502,-2
136,9,ダート,1800m,晴,良,10,3,牡8,57,"
吉田隼人
",46.7,11,546,-4
137,9,ダート,1800m,晴,良,11,13,牡7,57,"
横山典弘
",83.9,12,464,+2
138,9,ダート,1800m,晴,良,12,9,牡5,57,"
戸崎圭太
",4.4,1,502,0
139,9,ダート,1800m,晴,良,13,12,牡5,57,"
柴田大知
",5.9,3,526,+10
140,9,ダート,1800m,晴,良,14,11,セ8,57,"
柴田善臣
",200.5,15,502,-12
141,9,ダート,1800m,晴,良,15,15,牡5,57,"
石橋脩
",17.9,8,518,+2
142,9,ダート,1800m,晴,良,16,10,牡7,57,"
勝浦正樹
",258.0,16,518,+4
143,10,芝,外1600m,晴,良,1,4,牡3,56,"
田辺裕信
",1.6,1,454,+12
144,10,芝,外1600m,晴,良,2,7,牡3,56,"
川田将雅
",3.0,2,522,+10
145,10,芝,外1600m,晴,良,3,2,牡3,56,"
田中勝春
",11.1,3,430,0
146,10,芝,外1600m,晴,良,4,9,牡3,56,"
蛯名正義
",39.2,7,454,0
147,10,芝,外1600m,晴,良,5,3,牡3,56,"
横山和生
",26.2,6,486,-6
148,10,芝,外1600m,晴,良,6,8,牡3,56,"
内田博幸
",16.3,5,474,-2
149,10,芝,外1600m,晴,良,7,5,牡3,56,"
戸崎圭太
",11.6,4,478,+14
150,10,芝,外1600m,晴,良,8,1,牡3,56,"
武藤雅
",83.5,8,454,0
151,11,芝,2000m,晴,良,1,6,牡4,55,"
戸崎圭太
",2.5,1,522,+8
152,11,芝,2000m,晴,良,2,1,牡4,56,"
松岡正海
",4.9,2,480,+10
